transaction_id,user_id,amount,transaction_type,merchant_category,country,hour,device_risk_score,ip_risk_score
0,0,0,0,Travel,TR,12,0.12012012,0.9128122
9608,363,4922.5875423114285,ATM,Travel,TR,12,0.9923465237053082,0.9479076765522912
456,692,48.01830285876102,QR,Food,US,21,0.16857123943741714,0.22405740349119166
4747,587,136.88196000299405,Online,Travel,TR,14,0.29612724879473956,0.12505769241015305
6934,445,80.53471896232148,POS,Clothing,TR,23,0.12480097836782779,0.1592425051585693
0,11111,4922.58,ATM,Travel,TR,12,0.50,0.40
1646,729,120.04115818676428,Online,Grocery,FR,16,0.0981289537116425,0.02754196922389681
2183,944,97.10862458470542,POS,Clothing,DE,17,0.2353994323859285,0.1054540510901703
1919,829,166.2092618572779,Online,Travel,UK,12,0.11590590864268228,0.22371784341004333
3479,845,96.51263663096326,Online,Grocery,US,7,0.08225043328647746,0.034023010133471865
6796,129,83.33870063187989,PT,Food,DE,16,0.0217744413637976,0.27959750653342147
5129,249,89.69573134806983,QR,Grocery,UK,6,0.09535343717269791,0.13633641340833455
7402,701,101.40382672472745,QR,Travel,FR,7,0.16479393481940688,0.29193962463857537
6188,116,106.56344355857529,QR,Food,DE,23,0.13623596858798723,0.1358305529043107
8538,679,55.36360144813594,Online,Food,US,10,0.07430426366719887,0.1287602546987983
8410,559,99.41209708030595,Online,Food,DE,10,0.08477355164396096,0.014333688637872632
8201,564,94.5456051441663,ATM,Clothing,TR,20,0.13348972740002596,0.16200983448572015
2187,336,133.4106627218069,POS,Food,UK,19,0.08313216365193023,0.28602018920359074
5666,166,157.99812334207053,QR,Electronics,FR,19,0.2075330047227872,0.019961657221260854
1419,288,202.99589542072368,QR,Grocery,TR,23,0.15654429930596844,0.08275756652907204
6484,984,88.50981483421131,QR,Travel,UK,19,0.14780302978986357,0.20648020390836644
2480,137,115.30655945024978,Online,Food,FR,14,0.20638437804657292,0.06876635331550568
2818,893,63.99286999198463,QR,Travel,FR,12,0.04374362149392835,0.2228466120955162
8826,620,113.30575124310727,ATM,Clothing,TR,9,0.1421629827225529,0.03488554332227759
8257,600,131.96349737388977,Online,Clothing,FR,18,0.0398973274519932,0.04451144237697532
9933,121,4284.177966789535,ATM,Food,TR,12,0.7378542343081798,0.7310706966099291
9035,358,76.69547978824451,POS,Grocery,TR,7,0.09397596614893379,0.1849988394372379
7468,688,138.64170246332006,POS,Electronics,TR,17,0.10804562947730546,0.2096710067601381
464,832,133.26357531450472,Online,Travel,DE,15,0.05743408766243224,0.09218882146107052
599,155,17.551208105434853,POS,Electronics,FR,7,0.01246941955515144,0.1750715829203944
3094,200,1.0,POS,Food,US,9,0.10658355233745694,0.18046503496239283
8745,865,154.71804286403912,Online,Grocery,FR,9,0.1640808974863007,0.030920377220238035
2730,375,103.78133891952018,ATM,Grocery,US,17,0.20616674972970359,0.1443677662279165
4155,826,54.19831276462013,ATM,Grocery,TR,22,0.09201098790026788,0.010838117485445798
4298,847,91.65205846735249,QR,Food,TR,18,0.26634068946690326,0.13020517084226832
9139,769,135.33542351011545,POS,Grocery,FR,16,0.07311850410350935,0.08330499402108069
3983,271,64.96868148807118,POS,Grocery,TR,16,0.019904129813445925,0.24535898534981151
8777,568,117.16488454620773,POS,Food,DE,10,0.12743186140282867,0.29341556582454326
2140,719,174.589108171203,Online,Clothing,FR,6,0.16542472577396158,0.2109866241018303
3084,161,98.82222998896229,ATM,Food,TR,19,0.19931766932469197,0.05084975470159274
7706,557,101.63738237647001,POS,Food,TR,15,0.07841237100753193,0.16087964266787066
7574,421,138.32723758855823,POS,Electronics,FR,8,0.26407777612541905,0.15124795249782558
4233,561,118.62598335458355,ATM,Travel,FR,15,0.018631461053762555,0.056957332366092815
3826,920,109.3592013744292,ATM,Electronics,TR,8,0.05952247911059308,0.029689872667215643
8966,430,140.46800360052507,POS,Grocery,US,9,0.01194990499783708,0.10184881300671102
5329,968,120.11759942271706,POS,Clothing,FR,19,0.08275895114990729,0.22997840609489678
6819,927,50.680696435170574,POS,Travel,TR,12,0.284411500347179,0.21442453213170945
1711,813,173.9763601759259,ATM,Electronics,TR,9,0.003056771782739187,0.09095194237994982
8484,879,53.2537959280578,POS,Electronics,FR,19,0.2647985061944684,0.0966700613416593
7710,984,26.693043335417926,Online,Electronics,US,17,0.25218446311202225,0.10270529564741826
4048,798,79.4225525848626,ATM,Food,US,8,0.013121045769315531,0.14700698614671623
4570,566,3.625878623295307,POS,Food,US,20,0.2182522730324213,0.2374910585964388
5474,94,123.13936932641539,Online,Food,UK,12,0.21711148820086373,0.057834714361196714
4669,656,90.12027156388204,Online,Clothing,US,19,0.15954776000702672,0.2543958333765973
2459,900,49.77455845335883,QR,Electronics,DE,10,0.2638938638428773,0.06520393877072239
8065,822,91.05626975759722,Online,Clothing,FR,16,0.1377325482114759,0.2797528842122726
2577,71,127.58261342895372,QR,Clothing,UK,15,0.21876075997882247,0.1226037875114424
3055,29,115.13384467114868,Online,Clothing,US,12,0.227314131694864,0.2435908853140819
